Claim_ID,TANS_Org_ID,Claim_Month,Total_Meals_Claimed,Approved_ADP,Reimbursement_Requested,Status,TX_UNPS_CE_ID,Entity_Name,Program_Type,ADP_Violation,Potential_Disallowed_Cost,Pending_Cash_Flow_Impact
CLM-2026-86730,ORG-1000,2026-04-01,2908,4140,7270.0,Denied,CE-9000,Texas School District 0,CACFP,False,0.0,0.0
CLM-2026-53043,ORG-1001,2026-04-01,483,660,1207.5,Pending Review,CE-9001,Texas School District 1,SFSP,False,0.0,1207.5
CLM-2026-59348,ORG-1002,2026-04-01,3649,4895,15508.25,Pending Review,CE-9002,Texas School District 2,NSLP,False,0.0,15508.25
CLM-2026-50173,ORG-1003,2026-04-01,1534,2088,3835.0,Pending Review,CE-9003,Texas School District 3,CACFP,False,0.0,3835.0
CLM-2026-40814,ORG-1004,2026-04-01,2960,3995,7400.0,Approved,CE-9004,Texas School District 4,CACFP,False,0.0,0.0
CLM-2026-27505,ORG-1005,2026-04-01,3844,4634,9610.0,Pending Review,CE-9005,Texas School District 5,SFSP,False,0.0,9610.0
CLM-2026-57583,ORG-1006,2026-04-01,902,1139,3833.5,Approved,CE-9006,Texas School District 6,NSLP,False,0.0,0.0
CLM-2026-66981,ORG-1007,2026-04-01,2415,3124,10263.75,Approved,CE-9007,Texas School District 7,NSLP,False,0.0,0.0
CLM-2026-30120,ORG-1008,2026-04-01,2256,3091,5640.0,Approved,CE-9008,Texas School District 8,CACFP,False,0.0,0.0
CLM-2026-40706,ORG-1009,2026-04-01,1319,1663,3297.5,Approved,CE-9009,Texas School District 9,SBP,False,0.0,0.0
CLM-2026-37736,ORG-1010,2026-04-01,3389,3855,8472.5,Approved,CE-9010,Texas School District 10,CACFP,False,0.0,0.0
CLM-2026-25469,ORG-1011,2026-04-01,2514,3306,6285.0,Approved,CE-9011,Texas School District 11,CACFP,False,0.0,0.0
CLM-2026-84386,ORG-1012,2026-04-01,5282,4809,13205.0,Pending Review,CE-9012,Texas School District 12,CACFP,True,1182.5,13205.0
CLM-2026-90630,ORG-1013,2026-04-01,3714,4409,9285.0,Approved,CE-9013,Texas School District 13,CACFP,False,0.0,0.0
CLM-2026-68601,ORG-1014,2026-04-01,3461,4783,8652.5,Approved,CE-9014,Texas School District 14,SFSP,False,0.0,0.0
CLM-2026-71608,ORG-1015,2026-04-01,522,643,2218.5,Approved,CE-9015,Texas School District 15,NSLP,False,0.0,0.0
CLM-2026-83594,ORG-1016,2026-04-01,2809,3728,7022.5,Approved,CE-9016,Texas School District 16,SFSP,False,0.0,0.0
CLM-2026-57050,ORG-1017,2026-04-01,949,1338,2372.5,Pending Review,CE-9017,Texas School District 17,SFSP,False,0.0,2372.5
CLM-2026-74888,ORG-1018,2026-04-01,1249,1732,3122.5,Approved,CE-9018,Texas School District 18,SFSP,False,0.0,0.0
CLM-2026-52618,ORG-1019,2026-04-01,3575,4927,8937.5,Denied,CE-9019,Texas School District 19,CACFP,False,0.0,0.0
CLM-2026-69448,ORG-1020,2026-04-01,842,1093,2105.0,Pending Review,CE-9020,Texas School District 20,SBP,False,0.0,2105.0
CLM-2026-49847,ORG-1021,2026-04-01,2386,2892,10140.5,Approved,CE-9021,Texas School District 21,NSLP,False,0.0,0.0
CLM-2026-53681,ORG-1022,2026-04-01,4313,4949,10782.5,Approved,CE-9022,Texas School District 22,SBP,False,0.0,0.0
CLM-2026-47543,ORG-1023,2026-04-01,727,827,1817.5,Pending Review,CE-9023,Texas School District 23,SFSP,False,0.0,1817.5
CLM-2026-32756,ORG-1024,2026-04-01,3375,4072,8437.5,Pending Review,CE-9024,Texas School District 24,SFSP,False,0.0,8437.5
CLM-2026-99829,ORG-1025,2026-04-01,2528,3541,6320.0,Pending Review,CE-9025,Texas School District 25,SBP,False,0.0,6320.0
CLM-2026-97607,ORG-1026,2026-04-01,907,1227,2267.5,Pending Review,CE-9026,Texas School District 26,SBP,False,0.0,2267.5
CLM-2026-11363,ORG-1027,2026-04-01,2817,3673,7042.5,Approved,CE-9027,Texas School District 27,SBP,False,0.0,0.0
CLM-2026-98195,ORG-1028,2026-04-01,1937,2330,4842.5,Approved,CE-9028,Texas School District 28,SFSP,False,0.0,0.0
CLM-2026-23971,ORG-1029,2026-04-01,2883,3651,7207.5,Approved,CE-9029,Texas School District 29,SFSP,False,0.0,0.0
CLM-2026-75296,ORG-1030,2026-04-01,3784,4872,16082.0,Pending Review,CE-9030,Texas School District 30,NSLP,False,0.0,16082.0
CLM-2026-45661,ORG-1031,2026-04-01,1133,730,4815.25,Approved,CE-9031,Texas School District 31,NSLP,True,1712.75,0.0
