Payment_ID,TANS_Org_ID,Payment_Date,Authorized_Payment_Amount
PAY-544775,ORG-1004,2026-05-15,7327.2
PAY-746273,ORG-1006,2026-05-15,3794.85
PAY-168446,ORG-1007,2026-05-15,10232.53
PAY-640622,ORG-1008,2026-05-15,5608.91
PAY-348648,ORG-1009,2026-05-15,3275.23
PAY-190153,ORG-1010,2026-05-15,8419.62
PAY-312706,ORG-1011,2026-05-15,6268.94
PAY-732668,ORG-1013,2026-05-15,9256.37
PAY-211115,ORG-1014,2026-05-15,8527.21
PAY-122579,ORG-1015,2026-05-15,2180.34
PAY-204619,ORG-1016,2026-05-15,6960.05
PAY-702688,ORG-1018,2026-05-15,3070.91
PAY-894661,ORG-1021,2026-05-15,10012.43
PAY-386608,ORG-1022,2026-05-15,10751.57
PAY-397593,ORG-1027,2026-05-15,7023.47
PAY-350556,ORG-1028,2026-05-15,4777.42
PAY-606548,ORG-1029,2026-05-15,7142.64
PAY-680998,ORG-1031,2026-05-15,4760.4
PAY-514279,ORG-1032,2026-05-15,4184.84
PAY-849844,ORG-1033,2026-05-15,2743.89
PAY-279809,ORG-1034,2026-05-15,1863.4
PAY-290289,ORG-1035,2026-05-15,10880.17
PAY-193930,ORG-1037,2026-05-15,14173.73
PAY-246192,ORG-1039,2026-05-15,3875.93
PAY-524749,ORG-1040,2026-05-15,3286.65
PAY-615464,ORG-1043,2026-05-15,5098.74
PAY-139906,ORG-1045,2026-05-15,5845.57
PAY-402312,ORG-1046,2026-05-15,7866.37
PAY-494303,ORG-1047,2026-05-15,2786.63
PAY-732036,ORG-1048,2026-05-15,5537.4
PAY-126671,ORG-1049,2026-05-15,2764.55
PAY-105200,ORG-1050,2026-05-15,10265.64
PAY-382873,ORG-1051,2026-05-15,4761.6
PAY-969004,ORG-1052,2026-05-15,1044.38
PAY-751614,ORG-1053,2026-05-15,3114.06
PAY-457137,ORG-1055,2026-05-15,8529.23
PAY-952971,ORG-1056,2026-05-15,1078.28
PAY-799655,ORG-1058,2026-05-15,1113.61
PAY-681052,ORG-1059,2026-05-15,2587.27
PAY-859906,ORG-1060,2026-05-15,4651.14
PAY-892274,ORG-1061,2026-05-15,4027.99
PAY-290248,ORG-1064,2026-05-15,6590.87
PAY-784271,ORG-1067,2026-05-15,2827.84
PAY-127787,ORG-1069,2026-05-15,6353.37
PAY-733453,ORG-1072,2026-05-15,2330.23
PAY-599390,ORG-1073,2026-05-15,8300.13
PAY-185216,ORG-1074,2026-05-15,12405.78
PAY-962899,ORG-1075,2026-05-15,6549.57
PAY-992233,ORG-1078,2026-05-15,2852.11
PAY-706770,ORG-1079,2026-05-15,8818.87
PAY-370440,ORG-1080,2026-05-15,7886.39
PAY-780783,ORG-1081,2026-05-15,10102.4
PAY-454902,ORG-1082,2026-05-15,5117.99
PAY-844359,ORG-1083,2026-05-15,4562.75
PAY-468532,ORG-1085,2026-05-15,3343.32
PAY-835157,ORG-1086,2026-05-15,1555.86
PAY-316028,ORG-1088,2026-05-15,6801.41
PAY-205548,ORG-1091,2026-05-15,5061.1
PAY-308289,ORG-1092,2026-05-15,2253.77
PAY-608953,ORG-1093,2026-05-15,6904.05
PAY-665453,ORG-1094,2026-05-15,5748.19
PAY-208248,ORG-1095,2026-05-15,2225.32
PAY-889997,ORG-1096,2026-05-15,4083.76
PAY-364742,ORG-1097,2026-05-15,1252.92
PAY-258654,ORG-1098,2026-05-15,8005.86
PAY-691545,ORG-1099,2026-05-15,15077.97
