Claim_ID,TANS_Org_ID,Claim_Month,Total_Meals_Claimed,Approved_ADP,Reimbursement_Requested,Status
CLM-2026-86730,ORG-1000,2026-04-01,2908,4140,7270.0,Denied
CLM-2026-53043,ORG-1001,2026-04-01,483,660,1207.5,Pending Review
CLM-2026-59348,ORG-1002,2026-04-01,3649,4895,15508.25,Pending Review
CLM-2026-50173,ORG-1003,2026-04-01,1534,2088,3835.0,Pending Review
CLM-2026-40814,ORG-1004,2026-04-01,2960,3995,7400.0,Approved
CLM-2026-27505,ORG-1005,2026-04-01,3844,4634,9610.0,Pending Review
CLM-2026-57583,ORG-1006,2026-04-01,902,1139,3833.5,Approved
CLM-2026-66981,ORG-1007,2026-04-01,2415,3124,10263.75,Approved
CLM-2026-30120,ORG-1008,2026-04-01,2256,3091,5640.0,Approved
CLM-2026-40706,ORG-1009,2026-04-01,1319,1663,3297.5,Approved
CLM-2026-37736,ORG-1010,2026-04-01,3389,3855,8472.5,Approved
CLM-2026-25469,ORG-1011,2026-04-01,2514,3306,6285.0,Approved
CLM-2026-84386,ORG-1012,2026-04-01,5282,4809,13205.0,Pending Review
CLM-2026-90630,ORG-1013,2026-04-01,3714,4409,9285.0,Approved
CLM-2026-68601,ORG-1014,2026-04-01,3461,4783,8652.5,Approved
CLM-2026-71608,ORG-1015,2026-04-01,522,643,2218.5,Approved
CLM-2026-83594,ORG-1016,2026-04-01,2809,3728,7022.5,Approved
CLM-2026-57050,ORG-1017,2026-04-01,949,1338,2372.5,Pending Review
CLM-2026-74888,ORG-1018,2026-04-01,1249,1732,3122.5,Approved
CLM-2026-52618,ORG-1019,2026-04-01,3575,4927,8937.5,Denied
CLM-2026-69448,ORG-1020,2026-04-01,842,1093,2105.0,Pending Review
CLM-2026-49847,ORG-1021,2026-04-01,2386,2892,10140.5,Approved
CLM-2026-53681,ORG-1022,2026-04-01,4313,4949,10782.5,Approved
CLM-2026-47543,ORG-1023,2026-04-01,727,827,1817.5,Pending Review
CLM-2026-32756,ORG-1024,2026-04-01,3375,4072,8437.5,Pending Review
CLM-2026-99829,ORG-1025,2026-04-01,2528,3541,6320.0,Pending Review
CLM-2026-97607,ORG-1026,2026-04-01,907,1227,2267.5,Pending Review
CLM-2026-11363,ORG-1027,2026-04-01,2817,3673,7042.5,Approved
CLM-2026-98195,ORG-1028,2026-04-01,1937,2330,4842.5,Approved
CLM-2026-23971,ORG-1029,2026-04-01,2883,3651,7207.5,Approved
CLM-2026-75296,ORG-1030,2026-04-01,3784,4872,16082.0,Pending Review
CLM-2026-45661,ORG-1031,2026-04-01,1133,730,4815.25,Approved
CLM-2026-81079,ORG-1032,2026-04-01,1690,2260,4225.0,Approved
CLM-2026-65981,ORG-1033,2026-04-01,1107,1545,2767.5,Approved
CLM-2026-95951,ORG-1034,2026-04-01,751,964,1877.5,Approved
CLM-2026-53028,ORG-1035,2026-04-01,2580,2920,10965.0,Approved
CLM-2026-66386,ORG-1036,2026-04-01,1396,1647,3490.0,Pending Review
CLM-2026-45531,ORG-1037,2026-04-01,3380,4520,14365.0,Approved
CLM-2026-42053,ORG-1038,2026-04-01,419,550,1780.75,Pending Review
CLM-2026-67378,ORG-1039,2026-04-01,1567,2109,3917.5,Approved
CLM-2026-28706,ORG-1040,2026-04-01,1333,1859,3332.5,Approved
CLM-2026-24186,ORG-1041,2026-04-01,2316,3055,5790.0,Pending Review
CLM-2026-77939,ORG-1042,2026-04-01,1953,2224,4882.5,Pending Review
CLM-2026-62222,ORG-1043,2026-04-01,2044,2426,5110.0,Approved
CLM-2026-61477,ORG-1044,2026-04-01,3299,4080,8247.5,Pending Review
CLM-2026-35885,ORG-1045,2026-04-01,2362,2797,5905.0,Approved
CLM-2026-33031,ORG-1046,2026-04-01,3196,3589,7990.0,Approved
CLM-2026-31646,ORG-1047,2026-04-01,1131,1364,2827.5,Approved
